id,national_park,state,Favorite Trails,Scenic Drive,Best Time to Go,Where to Stay,Admission Fee,Must-Have Experience,hotel_name,hotel_price,inception,highest_peak
40,Grand Canyon National Park,Arizona,"Bright Angel, South Kaibab, Rim Trail",Desert View Drive,Winter offers cooler temperatures and stunning snow-covered rocks,"Under Canvas, Holiday Inn","$35 per vehicle or $20 per individual, valid for 7 days",The North Rim is not as popular and just as beautiful. Visit here to avoid some of the crowds without forfeiting the view.,"['Grand Canyon Plaza Hotel', 'Yavapai Lodge', 'Grand Canyon Lodge', 'Best Western Premier Grand Canyon Squire Inn', 'Holiday Inn Express Hotel & Suites Grand Canyon', 'Kaibab Lodge']","[99.0, 112.0, 158.0, 179.0, 113.0, 105.0]",,
41,Capitol Reef National Park,Utah,"Capitol Gorge, Golden Throne, Sunset Point, Hickman Bridge, Cassidy Arch",Scenic Drive (that’s seriously the name of the road!),"The orchards are blooming with fresh fruit from June to October, though spring brings better temperatures.","Capitol Reef Resort, Days Inn, The Noor Hotel","$20 per vehicle or $10 per individual, valid for 7 days","Tour the Scenic Drive, hike to Capitol Dome, and pick fresh fruits from the orchards to complete your visit.",['Capitol Reef Resort'],[89.0],,
42,Redwood National Park,California,"Stout Memorial Grove, Tall Trees Grove, Lady Bird Johnson Grove, Trillium Falls, Big Tree Wayside",,Most sunny days occur between May and October.,"Holiday Inn, Emerald Forest Cabins, View Crest Lodge, Oceanfront Lodge, Holiday Inn Express",None,Walk among the tallest trees at Tall Trees Grove or Big Tree Wayside.,"['Redwood Coast Vacation Rentals', 'Woodland Villa Cabins', 'Elk Meadow Cabins', 'Redwood Hotel Holiday Inn Express']","[84.7, 95.0, 274.0, 109.99]",,
43,Cuyahoga Valley National Park,Ohio,"Brandywine Gorge Loop, Boston Run, Plateau",Riverview Road,Spring for wildflowers or autumn for changing leaves,"Cuyahoga Valley Inn, Aloft",None,Stroll along the Cuyahoga River to appreciate its journey from historic pollution to the present day,,,,
44,Indiana Dunes National Park,Indiana,"Dune Ridge, Heron Rookery, Mount Baldy (with a park ranger)",,Summer is best for swimming,"Comfort Inn, Spring House Inn",Entering the park is free; entrance to West Beach is $6 per car,Climb one of the many sand dunes,,,,
45,Gateway Arch National Park,Missouri,,,St. Louis and Gateway Arch is fun to visit year-round,"Hyatt at the Arch, Union Station, Drury Plaza","$3 per person to enter the park, $12 per person to ride the tram to the top of the Arch",Ride in a tiny tram to the top of the Gateway Arch,,,,
46,Everglades National Park,Florida,"Anhinga, Pinelands, Coastal Prairie, Bobcat Boardwalk, Eco Pond, Rowdy Bend, Long Pine Key, Tram Trail",Loop Road (unpaved),"Winter for milder temperatures and drier weather, spring for kayaking","Fairway Inn, Travel Lodge, Super 8","$30 per vehicle or $15 per individual, valid for 7 days",Take a ranger-guided canoe trip on one of the park’s canoe trails.,,,,
47,Biscayne National Park,Florida,"Jetty Trail, Adams Key, Elliot Key, Boca Chita Key, Spite",,"Winter offers the driest, mildest weather, but snorkeling is best in summer and fall.","Marriott, Ritz Carlton, Floridian Hotel, Garden Inn",None,Take a guided boat tour into Biscayne Bay or snorkel the Maritime Heritage Trail.,,,,
48,Wind Cave National Park,South Dakota,"Rankin Ridge, Lookout Point, Centennial, Boland Ridge, Highland Creek, Wind Cave Canyon",,Spring for wildflowers; summer and fall for hiking,"Baymont, River Falls Lodging, USA Stay, Allen Ranch","There is no park entrance fee, but cave tours (required to visit the cave) require admission.",Take a ranger-guided tour through Wind Cave’s natural wonders,,,,
49,White Sands National Park,New Mexico,"Dune Life Nature Trail, Backcountry Camping Trail, Interdune Boardwalk",Dunes Drive,The Tularosa Basin experiences sunny weather approximately 330 days per year! You may want to avoid monsoon season from early-July to mid-October.,"Magnuson Hotel, Quality Inn, Hampton Inn","$20 per vehicle or $10 per individual, valid for 7 days",Climb one of the steep dunes and then ride on a sled back down.,,,,
50,Mammoth Cave National Park,Kentucky,"Cedar Sink, Mammoth Cave Railroad, Big Hollow, White Oak",Flint Ridge Road,"Fall is best for hiking; the cave is open year-round, and always 54°F.","Sleep Inn, Comfort Inn, Red Roof Inn","There is no entrance fee, however, cave tours (required to visit the cave) do charge a fee.",Take the Violet City tour to learn about the interesting history and natural beauty of Mammoth Cave.,,,,
51,Carlsbad Caverns National Park,New Mexico,"Big Room, Natural Entrance",Walnut Canyon Desert Drive (unpaved),Visit during summer to see the nightly bat flights; avoid crowds by avoiding holidays.,"Carlsbad Inn, Great Western Inn, Karbani Inn","$15 per person, valid for 3 days","From April to October, Brazilian free-tailed bats call the cave home. Visit the natural entrance just before sunset to witness their flight from the cave.",,,,
52,Congaree National Park,South Carolina,"Boardwalk Loop, River Trail, Fork Swamp, Kingsnake Trail",,The weather is pleasant year-round; avoid weekends and holidays to avoid crowds.,"Holiday Inn, Hampton Inn, Courtyard, Country Inn, Hampton Inn, Tru",None,Take a ranger-guided canoe trip through Congaree’s great swamp.,,,,
53,Dry Tortugas National Park,Florida,,,Spring and fall bring an astounding number of birds through the islands during migration.,"Garden Key Campground, Seashell Motel & Hostel","$15 per person, valid for 7 days",Take the Yankee Freedom boat to Garden Key to explore Fort Jefferson and camp overnight.,,,,
54,Monument Valley Navajo Tribal Park,Utah,,,,,,,"['Desert Rose Resort & Cabins', 'Gouldings Lodge', 'The View Hotel', 'San Juan Inn', 'Wetherill Inn', 'Kayenta Monument Valley Inn']","[119.0, 87.0, 109.0, 98.0, 96.0, 129.0]",,
55,Canyon de Chelly National Monument,Arizona,,,,,,,"['Thunderbird Lodge', 'Best Western Canyon De Chelly Inn']","[59.99, 89.99]",,
56,Mount Rushmore National Memorial,South Dakota,,,,,,,"['Baymont by Wyndham Keystone Near Mt. Rushmore', 'Ramada By Wyndham Keystone Near Mt. Rushmore', 'Mt. Rushmore Resort at Palmer Gulch', 'Best Western Sturgis Inn', 'Econo Lodge Black Hills']","[53.1, 99.0, 94.0, 70.0, 39.0]",,
57,Lake Thoreau,California,,,,,,,['Zephyr Cove Resort'],[113.0],,
58,Lake Havasu State Park,Arizona,,,,,,,"['London Bridge Resort', 'Nautical Inn Beachfront Resort', 'Heat Hotel']","[149.0, 129.0, 127.1]",,
