,id,url,name,national_park,rating,difficulty,length,elevation_gain,route_type,dog_status,kid_status,bike_status,attributes,state,time
4436,4438,https://www.alltrails.com/trail/us/california/john-muir-trail-via-yosemite-valley?ref=result-card,John Muir Trail via Yosemite Valley,Yosemite National Park,5.0,hard,203.1,46030.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,24.0
4442,4444,https://www.alltrails.com/trail/us/california/illilouette-falls-via-panorama-trail?ref=result-card,Illilouette Falls via Panorama Trail,Yosemite National Park,4.5,moderate,4.9,1453.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,2.95
4460,4462,https://www.alltrails.com/trail/us/california/mirror-lake-paved-trail?ref=result-card,Mirror Lake Paved Trail,Yosemite National Park,4.5,easy,1.6,98.0,Out & back,Dogs On Leash,Kid Friendly,Ideal For Biking,"['dogs on leash', 'wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'road biking', 'walking', 'forest', 'lake', 'paved', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee']",California,0.72
4463,4465,https://www.alltrails.com/trail/us/california/juniper-canyon-trail-to-high-peaks?ref=result-card,Juniper Canyon Trail to High Peaks,Pinnacles National Park,4.5,hard,4.5,1259.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'rock climbing', 'bird watching', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,2.67
4481,4483,https://www.alltrails.com/trail/us/california/trillium-falls-trail?ref=result-card,Trillium Falls Trail,Redwood National Park,4.5,moderate,2.6,433.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'forest', 'partially paved', 'views', 'waterfall', 'wildlife', 'no dogs']",California,1.33
4488,4490,https://www.alltrails.com/trail/us/california/black-rock-canyon-trail-to-warren-peak?ref=result-card,Black Rock Canyon Trail to Warren Peak,Joshua Tree National Park,4.5,moderate,5.6,1092.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'views', 'no shade', 'fee', 'no dogs']",California,2.25
4501,4504,https://www.alltrails.com/trail/us/california/moses-spring-and-rim-trail-loop?ref=result-card,Moses Spring and Rim Trail Loop,Pinnacles National Park,4.5,moderate,2.5,524.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'rock climbing', 'bird watching', 'cave', 'forest', 'lake', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,1.02
4517,4520,https://www.alltrails.com/trail/us/california/tuolumne-grove?ref=result-card,Tuolumne Grove Trail,Yosemite National Park,4.0,moderate,3.2,734.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,1.78
4525,4528,https://www.alltrails.com/trail/us/california/high-sierra-trail-crescent-meadow-to-whitney-portal?ref=result-card,High Sierra Trail: Crescent Meadow to Whitney Portal,Sequoia National Park,5.0,hard,65.1,15154.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'fishing', 'hiking', 'forest', 'lake', 'hot springs', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'snow', 'fee', 'no dogs']",California,24.0
4540,4543,https://www.alltrails.com/trail/us/california/darwin-falls-trail-via-old-toll-road?ref=result-card,Darwin Falls Trail via Old Toll Road,Death Valley National Park,4.5,easy,1.9,226.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",California,0.92
4541,4544,https://www.alltrails.com/trail/us/california/desolation-canyon-trail?ref=result-card,Desolation Canyon Trail,Death Valley National Park,4.5,moderate,3.6,770.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,1.97
4545,4548,https://www.alltrails.com/trail/us/california/mount-langley?ref=result-card,Mount Langley,Sequoia National Park,5.0,hard,23.0,4688.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'forest', 'lake', 'river', 'views', 'bugs', 'rocky', 'scramble', 'off trail', 'fee', 'no dogs']",California,11.7
4550,4553,https://www.alltrails.com/trail/us/california/heather-lake-via-watchtower-trail?ref=result-card,Heather Lake via Watchtower Trail,Sequoia National Park,5.0,hard,8.1,2112.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'snowshoeing', 'walking', 'bird watching', 'running', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,4.68
4558,4561,https://www.alltrails.com/trail/us/california/condor-gulch-trail-to-overlook--2?ref=result-card,Condor Gulch Trail To Overlook,Pinnacles National Park,4.5,moderate,1.9,528.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'fee', 'no dogs']",California,0.77
4576,4579,https://www.alltrails.com/trail/us/california/crescent-and-log-meadows-trail?ref=result-card,Crescent and Log Meadows Trail,Sequoia National Park,4.5,easy,1.8,206.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'snowshoeing', 'walking', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife', 'snow', 'fee', 'no dogs']",California,0.87
4579,4582,https://www.alltrails.com/trail/us/california/old-pinnacles-trail-loop?ref=result-card,Old Pinnacles Trail Loop,Pinnacles National Park,4.5,moderate,9.5,1732.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'rock climbing', 'bird watching', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,0.08
4581,4584,https://www.alltrails.com/trail/us/california/death-valley-natural-bridge-road?ref=result-card,Death Valley Natural Bridge Road,Death Valley National Park,4.0,easy,4.3,1000.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'views', 'wildflowers', 'wildlife', 'no shade', 'fee', 'no dogs']",California,2.4
4590,4593,https://www.alltrails.com/trail/us/california/half-dome-via-little-yosemite-valley-campsite--2?ref=result-card,Half Dome via Little Yosemite Valley Campsite,Yosemite National Park,5.0,hard,6.8,2719.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'rock climbing', 'views', 'fee', 'no dogs']",California,4.58
4596,4599,https://www.alltrails.com/trail/us/california/high-peaks-trail?ref=result-card,High Peaks Trail,Pinnacles National Park,4.5,hard,6.4,1840.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife', 'muddy', 'rocky', 'scramble', 'fee', 'no dogs']",California,3.55
4600,4603,https://www.alltrails.com/trail/us/california/big-baldy?ref=result-card,Big Baldy Ridge Trail,Sequoia National Park,4.5,moderate,5.5,1391.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,3.15
4605,4608,https://www.alltrails.com/trail/us/california/manzanita-lake-loop?ref=result-card,Manzanita Lake Loop,Lassen Volcanic National Park,4.5,easy,1.9,45.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'fishing', 'hiking', 'nature trips', 'snowshoeing', 'walking', 'bird watching', 'running', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'bugs', 'fee', 'no dogs']",California,0.8
4613,4616,https://www.alltrails.com/trail/us/california/zumwalt-meadow-and-roaring-river-falls?ref=result-card,Zumwalt Meadow And Roaring River Falls,Kings Canyon National Park,4.5,easy,5.4,419.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'fishing', 'hiking', 'nature trips', 'bird watching', 'running', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'no dogs']",California,2.18
4640,4643,https://www.alltrails.com/trail/us/california/high-peaks-balconies-cave-pinnacles-nm?ref=result-card,High Peaks & Balconies Cave Loop Trail,Pinnacles National Park,4.5,moderate,7.9,1804.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'running', 'views', 'wildflowers', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",California,4.4
4663,4666,https://www.alltrails.com/trail/us/california/mill-creek-falls-trail?ref=result-card,Mill Creek Falls Trail,Lassen Volcanic National Park,4.5,moderate,3.8,780.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'snow', 'fee']",California,2.05
4677,4680,https://www.alltrails.com/trail/us/west-virginia/arrowhead-loop-trail?ref=result-card,Arrowhead Loop Trail,New River Gorge National Park and Preserve,4.0,moderate,6.5,472.0,Loop,Dogs On Leash,Not Kid Friendly,Ideal For Biking,"['dogs on leash', 'hiking', 'mountain biking', 'nature trips', 'walking', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife']",West Virginia,2.93
4681,4684,https://www.alltrails.com/trail/us/california/clouds-rest-trail-from-yosemite-valley?ref=result-card,Clouds Rest Trail from Yosemite Valley,Yosemite National Park,5.0,hard,20.5,6302.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,11.52
4687,4690,https://www.alltrails.com/trail/us/california/rancheria-falls?ref=result-card,Rancheria Falls Trail,Yosemite National Park,4.5,moderate,11.9,2618.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,6.57
4720,4723,https://www.alltrails.com/trail/us/california/the-maze-loop?ref=result-card,The Maze Loop,Joshua Tree National Park,4.5,moderate,4.7,360.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'bird watching', 'views', 'wildflowers', 'rocky', 'fee', 'no dogs']",California,2.13
4735,4738,https://www.alltrails.com/trail/us/california/brokeoff-mountain?ref=result-card,Brokeoff Mountain Trail,Lassen Volcanic National Park,5.0,hard,7.6,2582.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'nature trips', 'rock climbing', 'bird watching', 'running', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'over grown', 'rocky', 'snow', 'fee', 'no dogs']",California,4.8
4753,4756,https://www.alltrails.com/trail/us/california/wall-street-mill?ref=result-card,Wall Street Mill Trail,Joshua Tree National Park,4.5,easy,2.4,88.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'bird watching', 'running', 'views', 'wildflowers', 'wildlife', 'off trail', 'fee', 'no dogs']",California,1.03
4759,4762,https://www.alltrails.com/trail/us/california/little-baldy-trail?ref=result-card,Little Baldy Trail,Sequoia National Park,5.0,moderate,3.3,793.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,1.87
4760,4763,https://www.alltrails.com/trail/us/california/lyv-to-happy-isles-via-john-muir?ref=result-card,Happy Isles Via John Muir from Little Yosemite Valley,Yosemite National Park,5.0,moderate,9.2,2641.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'forest', 'partially paved', 'views', 'waterfall', 'fee', 'no dogs']",California,4.7
4776,4779,https://www.alltrails.com/trail/us/california/balconies-trail?ref=result-card,Balconies Trail,Pinnacles National Park,4.5,moderate,9.1,2001.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'cave', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",California,5.02
4779,4782,https://www.alltrails.com/trail/us/california/carlon-falls-trail?ref=result-card,Carlon Falls Trail,Yosemite National Park,4.5,moderate,3.4,190.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'river', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,1.38
4789,4792,https://www.alltrails.com/trail/us/california/happy-isles-vernall-falls-half-dome-tenaya-lake-and-mirror-lakes-loop?ref=result-card,"Happy Isles, Vernall Falls, Half Dome, Tenaya Lake, and Mirror Lakes Loop",Yosemite National Park,5.0,hard,30.2,9419.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'fishing', 'hiking', 'nature trips', 'running', 'forest', 'lake', 'partially paved', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'scramble', 'fee', 'no dogs']",California,24.0
4790,4793,https://www.alltrails.com/trail/us/california/tuolumne-meadows-to-glen-aulin-high-sierra-camp?ref=result-card,Tuolumne Meadows to Glen Aulin High Sierra Camp,Yosemite National Park,4.5,moderate,12.1,1200.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'fishing', 'hiking', 'horseback riding', 'nature trips', 'walking', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,5.68
4801,4804,https://www.alltrails.com/trail/us/california/may-lake--7?ref=result-card,May Lake,Yosemite National Park,4.5,moderate,2.8,498.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'nature trips', 'walking', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,1.47
4805,4808,https://www.alltrails.com/trail/us/california/balconies-trail-to-machete-ridge?ref=result-card,Balconies Trail to Machete Ridge,Pinnacles National Park,4.5,easy,1.4,108.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'rocky', 'fee', 'no dogs']",California,0.63
4808,4811,https://www.alltrails.com/trail/us/california/desert-queen-mine-and-wash?ref=result-card,Desert Queen Mine and Eagle Cliff Boulder House,Joshua Tree National Park,4.5,moderate,3.4,580.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'bird watching', 'running', 'cave', 'views', 'wildflowers', 'wildlife', 'rocky', 'historic site', 'fee', 'no dogs']",California,1.77
4813,4816,https://www.alltrails.com/trail/us/california/grizzly-giant-loop-trail?ref=result-card,Grizzly Giant Loop Trail,Yosemite National Park,4.5,easy,2.0,351.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'running', 'forest', 'historic site', 'fee', 'no dogs']",California,1.05
4823,4826,https://www.alltrails.com/trail/us/california/olmsted-point-nature-trail?ref=result-card,Olmsted Point Nature Trail,Yosemite National Park,4.5,easy,0.4,55.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,0.2
4835,4838,https://www.alltrails.com/trail/us/california/ten-lakes-trail--3?ref=result-card,Ten Lakes Trail,Yosemite National Park,4.5,hard,12.4,3021.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",California,7.03
4852,4855,https://www.alltrails.com/trail/us/california/zumwalt-meadow-loop-trail?ref=result-card,Zumwalt Meadow Loop Trail,Kings Canyon National Park,4.5,easy,1.6,141.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'hiking', 'walking', 'bird watching', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'no dogs']",California,0.63
4853,4856,https://www.alltrails.com/trail/us/california/paradise-valley-trail?ref=result-card,Paradise Valley Trail,Kings Canyon National Park,5.0,hard,18.2,2506.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'bugs', 'no dogs']",California,8.9
4866,4869,https://www.alltrails.com/trail/us/california/keys-view-loop-to-inspiration-peak-trail?ref=result-card,Keys View Loop to Inspiration Peak Trail,Joshua Tree National Park,4.5,easy,2.0,656.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'bird watching', 'running', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",California,0.8
4877,4880,https://www.alltrails.com/trail/us/california/bumpas-hell-to-cold-boiling-lake?ref=result-card,Cold Boiling Lake Trail to Bumpass Hell Trail,Lassen Volcanic National Park,4.5,moderate,5.4,1003.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",California,2.85
4879,4882,https://www.alltrails.com/trail/us/california/hart-tree-and-sugar-bowl-trail-loop?ref=result-card,Hart Tree Trail Loop,Kings Canyon National Park,4.5,moderate,10.0,2066.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'no dogs']",California,5.05
4897,4900,https://www.alltrails.com/trail/us/california/mineral-king-little-five-lakes-and-big-five-lakes-loop?ref=result-card,"Mineral King, Little Five Lakes, and Big Five Lakes Loop",Sequoia National Park,4.5,hard,28.2,9560.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'fishing', 'hiking', 'nature trips', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'bugs', 'scramble', 'snow', 'fee', 'no dogs']",California,24.0
4917,4920,https://www.alltrails.com/trail/us/california/artists-palette?ref=result-card,Artist's Palette Overlook,Death Valley National Park,4.0,easy,0.4,118.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'views', 'wildlife', 'no shade', 'fee', 'no dogs']",California,0.17
4922,4925,https://www.alltrails.com/trail/us/california/eagle-view-trail--2?ref=result-card,Eagle View Trail,Sequoia National Park,4.5,moderate,1.5,282.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'views', 'wildflowers', 'fee', 'no dogs']",California,0.8
4928,4931,https://www.alltrails.com/trail/us/virginia/dark-hollow-falls-trail?ref=result-card,Dark Hollow Falls Trail,Shenandoah National Park,4.5,moderate,1.4,564.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'river', 'views', 'waterfall', 'wildlife', 'rocky', 'fee', 'no dogs']",Virginia,0.95
4929,4932,https://www.alltrails.com/trail/us/virginia/old-rag-mountain-loop-trail?ref=result-card,Old Rag Mountain Loop,Shenandoah National Park,5.0,hard,9.5,2683.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",Virginia,4.83
4930,4933,https://www.alltrails.com/trail/us/virginia/white-oak-canyon-and-cedar-run-trails?ref=result-card,White Oak Canyon and Cedar Run Trails Loop,Shenandoah National Park,4.5,hard,9.0,2372.0,Loop,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'nature trips', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee']",Virginia,5.23
4931,4934,https://www.alltrails.com/trail/us/virginia/stony-man-via-appalachian-trail?ref=result-card,Stony Man via Appalachian Trail,Shenandoah National Park,4.5,easy,1.5,321.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildflowers', 'rocky', 'fee', 'no dogs']",Virginia,0.82
4932,4935,https://www.alltrails.com/trail/us/virginia/hawksbill-gap-loop?ref=result-card,Hawksbill Gap Loop via Appalachian Trail,Shenandoah National Park,4.5,moderate,2.6,751.0,Loop,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'dog friendly', 'forest', 'views', 'wildflowers', 'wildlife', 'bugs', 'rocky', 'fee']",Virginia,1.55
4933,4936,https://www.alltrails.com/trail/us/virginia/rose-river-trail?ref=result-card,Rose River Trail,Shenandoah National Park,4.5,moderate,3.8,875.0,Loop,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee']",Virginia,1.98
4936,4939,https://www.alltrails.com/trail/us/virginia/bearfence-mountain-trail?ref=result-card,Bearfence Mountain Trail,Shenandoah National Park,4.5,moderate,1.0,242.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",Virginia,0.57
4938,4941,https://www.alltrails.com/trail/us/virginia/south-river-falls-trail-and-south-river-fire-road-loop?ref=result-card,South River Falls Trail and South River Fire Road Loop,Shenandoah National Park,4.5,moderate,4.6,1272.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'bird watching', 'forest', 'river', 'views', 'waterfall', 'wildlife', 'rocky', 'fee']",Virginia,2.72
4941,4944,https://www.alltrails.com/trail/us/virginia/little-devils-stairs-trail?ref=result-card,Little Devils Stairs Trail,Shenandoah National Park,4.5,moderate,6.3,1496.0,Loop,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'nature trips', 'forest', 'views', 'waterfall', 'wildlife', 'bugs', 'rocky', 'scramble', 'fee']",Virginia,3.15
4942,4945,https://www.alltrails.com/trail/us/virginia/little-stony-man-loop-via-appalachian-trail?ref=result-card,Little Stony Man Loop via Appalachian Trail,Shenandoah National Park,4.5,moderate,3.4,866.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'beach', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Virginia,1.95
4944,4947,https://www.alltrails.com/trail/us/virginia/marys-rock-via-appalachian-trail-north-approach?ref=result-card,Marys Rock via Appalachian Trail (North Approach),Shenandoah National Park,4.5,moderate,3.4,1210.0,Out & back,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'backpacking', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee']",Virginia,2.18
4946,4949,https://www.alltrails.com/trail/us/virginia/white-oak-canyon-trail?ref=result-card,White Oak Canyon Trail,Shenandoah National Park,4.5,hard,9.5,2408.0,Out & back,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'backpacking', 'camping', 'hiking', 'horseback riding', 'nature trips', 'running', 'beach', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'washed out', 'fee']",Virginia,5.45
4949,4952,https://www.alltrails.com/trail/us/virginia/hawksbill-summit?ref=result-card,Hawksbill Summit Trail,Shenandoah National Park,4.5,moderate,1.5,672.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildlife', 'fee']",Virginia,1.07
4952,4955,https://www.alltrails.com/trail/us/virginia/riprap-trail?ref=result-card,Riprap Trail ,Shenandoah National Park,4.5,hard,9.3,2116.0,Loop,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee']",Virginia,4.75
4953,4956,https://www.alltrails.com/trail/us/virginia/blackrock-summit-via-trayfoot-mountain-and-appalachian-trail?ref=result-card,Blackrock Summit via Trayfoot Mountain and Appalachian Trail,Shenandoah National Park,4.5,easy,1.1,180.0,Loop,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'bird watching', 'forest', 'views', 'wildlife', 'bugs', 'rocky', 'scramble', 'fee']",Virginia,0.57
4954,4957,https://www.alltrails.com/trail/us/virginia/upper-hawksbill-trail?ref=result-card,Upper Hawksbill Trail,Shenandoah National Park,4.5,moderate,2.2,488.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'bird watching', 'running', 'forest', 'views', 'wildlife', 'rocky', 'fee']",Virginia,1.22
4961,4964,https://www.alltrails.com/trail/us/virginia/dark-hollow-via-appalachian-trail-and-story-of-the-forest-trail?ref=result-card,Dark Hollow via Appalachian Trail and Story of the Forest Trail,Shenandoah National Park,4.5,hard,6.0,1479.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'fee', 'no dogs']",Virginia,3.42
4971,4974,https://www.alltrails.com/trail/us/virginia/doyles-river-falls-trail?ref=result-card,Doyles River Falls Trail,Shenandoah National Park,4.5,moderate,3.4,1181.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'waterfall', 'fee']",Virginia,2.17
4974,4977,https://www.alltrails.com/trail/us/virginia/jones-run-falls-trail?ref=result-card,Jones Run Falls Trail,Shenandoah National Park,4.5,moderate,4.5,1272.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'river', 'views', 'waterfall', 'wildlife', 'fee']",Virginia,2.67
4977,4980,https://www.alltrails.com/trail/us/virginia/lower-white-oak-falls-via-whiteoak-canyon-trail?ref=result-card,Lower White Oak Falls via Whiteoak Canyon Trail,Shenandoah National Park,4.5,moderate,2.8,406.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'forest', 'views', 'waterfall', 'fee']",Virginia,1.4
